time_s,imp_IMP_MYUSM_L1,imp_IMP_MYUSM_R1,imp_IMP_MYUSM_L2,imp_IMP_MYUSM_R2,imp_IMP_FS_L1,imp_IMP_FS_R1,imp_IMP_FS_L2,imp_IMP_FS_R2,exp_AVy_L1,exp_AVy_R1,exp_AVy_L2,exp_AVy_R2,exp_Fz_L1,exp_Fz_R1,exp_Fz_L2,exp_Fz_R2,exp_CmpS_L1,exp_CmpS_R1,exp_CmpS_L2,exp_CmpS_R2,exp_Vz_Wc_L1,exp_Vz_Wc_R1,exp_Vz_Wc_L2,exp_Vz_Wc_R2,exp_Xo,exp_Vx,exp_Roll_E,exp_Pitch,exp_X_L1,exp_X_R1,exp_X_L2,exp_X_R2
0.0145,0,0,0,0,0,0,0,0,13.3928643,13.3934019,13.3909173,13.3912987,22417.1744,22410.9304,21226.5506,21226.578,53.5931033,53.5864338,50.6062825,50.6063106,-0.0103004153,-0.0127097013,-0.012775065,-0.0128111028,100.010887,2.79786555,2.8752989e-06,-0.262930215,100.008903,100.009147,96.1088766,96.1088768
0.015,0,0,0,0,0,0,0,0,13.4046201,13.4051777,13.4020154,13.4024191,22416.9876,22411.0712,21226.5429,21226.5742,53.593231,53.5863677,50.6062758,50.6063056,-0.0104566477,-0.012637971,-0.0127520493,-0.0127902413,100.011275,2.7977291,3.12607593e-06,-0.262929845,100.009292,100.009536,96.1092652,96.1092653
0.0155,0,0,0,0,0,0,0,0,13.415764,13.4163386,13.4125462,13.4129712,22416.8102,22411.1966,21226.5327,21226.5681,53.5933541,53.5863116,50.6062661,50.6062974,-0.0106310537,-0.0125833648,-0.0127269546,-0.0127672295,100.011664,2.797596,3.3876977e-06,-0.262929299,100.009681,100.009925,96.1096537,96.1096539
0.016,0,0,0,0,0,0,0,0,13.4261367,13.4267253,13.4223585,13.422804,22416.6434,22411.3069,21226.5199,21226.5595,53.5934716,53.5862644,50.6062539,50.606287,-0.0108203298,-0.0125443664,-0.012700328,-0.0127426082,100.012053,2.79746711,3.66009738e-06,-0.26292859,100.010069,100.010314,96.1100423,96.1100425
0.0165,0,0,0,0,0,0,0,0,13.4355831,13.4361825,13.4313059,13.4317707,22416.4876,22411.4031,21226.5043,21226.5484,53.5935826,53.5862251,50.6062401,50.6062749,-0.0110222727,-0.0125205161,-0.0126727353,-0.012716938,100.012441,2.79734326,3.94320478e-06,-0.262927734,100.010458,100.010702,96.1104308,96.110431
0.017,0,0,0,0,0,0,0,0,13.4439621,13.444569,13.439255,13.439738,22416.3433,22411.4859,21226.4859,21226.5346,53.5936861,53.5861927,50.6062254,50.6062619,-0.0112345906,-0.0125110908,-0.012644767,-0.0126908056,100.01283,2.79722521,4.2369478e-06,-0.262926749,100.010847,100.011091,96.1108193,96.1108195
0.0175,0,0,0,0,0,0,0,0,13.4511493,13.4517603,13.4460881,13.446588,22416.211,22411.5564,21226.4646,21226.5182,53.5937815,53.5861659,50.6062105,50.6062488,-0.0114548713,-0.0125151018,-0.0126170251,-0.0126648101,100.013218,2.79711363,4.54125392e-06,-0.262925653,100.011236,100.01148,96.1112078,96.111208
0.018,0,0,0,0,0,0,0,0,13.4570388,13.4576504,13.4517046,13.4522203,22416.0907,22411.6157,21226.4404,21226.4991,53.5938678,53.5861436,50.606196,50.6062362,-0.0116806158,-0.0125313253,-0.0125901115,-0.0126395525,100.013607,2.79700907,4.85605159e-06,-0.262924469,100.011625,100.011869,96.1115962,96.1115964
0.0185,0,0,0,0,0,0,0,0,13.4615444,13.4621531,13.4560226,13.4565528,22415.9828,22411.6649,21226.4136,21226.4774,53.5939445,53.5861248,50.6061826,50.6062247,-0.0119092697,-0.0125583336,-0.0125646177,-0.012615624,100.013995,2.796912,5.18127151e-06,-0.262923219,100.012014,100.012258,96.1119847,96.1119849
0.019,0,0,0,0,0,0,0,0,13.4646011,13.4652033,13.4589797,13.4595233,22415.8871,22411.705,21226.3842,21226.4534,53.5940111,53.5861083,50.6061708,50.6062149,-0.0121382553,-0.0125945274,-0.0125411138,-0.0125935957,100.014383,2.79682276,5.51684774e-06,-0.262921926,100.012403,100.012647,96.1123731,96.1123734
0.0195,0,0,0,0,0,0,0,0,13.4661656,13.4667577,13.4605343,13.4610901,22415.8038,22411.7373,21226.3526,21226.4273,53.594067,53.5860932,50.6061613,50.6062074,-0.0123650041,-0.0126381707,-0.0125201385,-0.0125740087,100.014772,2.79674158,5.86271871e-06,-0.262920614,100.012792,100.013036,96.1127615,96.1127618
0.02,0,0,0,0,0,0,0,0,13.4662171,13.4667954,13.4606654,13.4612324,22415.7327,22411.7628,21226.3189,21226.3992,53.5941121,53.5860784,50.6061544,50.6062027,-0.01258699,-0.0126874256,-0.0125021902,-0.0125573645,100.01516,2.79666857,6.21882799e-06,-0.262919309,100.013181,100.013425,96.1131499,96.1131502
0.0205,0,0,0,0,0,0,0,0,13.4647572,13.4653181,13.4593735,13.4599506,22415.6734,22411.7826,21226.2836,21226.3697,53.594146,53.5860632,50.6061506,50.6062012,-0.0128017622,-0.0127403872,-0.0124877182,-0.0125441163,100.015549,2.79660373,6.58512493e-06,-0.262918034,100.01357,100.013814,96.1135383,96.1135386
0.021,0,0,0,0,0,0,0,0,13.4618102,13.4623497,13.4566799,13.4572664,22415.6258,22411.7978,21226.2469,21226.3389,53.5941688,53.5860468,50.6061502,50.6062031,-0.0130069789,-0.0127951178,-0.0124771153,-0.0125346619,100.015937,2.79654691,6.96156511e-06,-0.262916812,100.013958,100.014203,96.1139267,96.113927
0.0215,0,0,0,0,0,0,0,0,13.4574221,13.457936,13.4526267,13.4532219,22415.5895,22411.8093,21226.2094,21226.3074,53.5941805,53.5860285,50.6061535,50.6062087,-0.0132004402,-0.0128496788,-0.012470711,-0.0125293364,100.016325,2.79649787,7.34811045e-06,-0.262915668,100.014347,100.014592,96.1143151,96.1143154
0.022,0,0,0,0,0,0,0,0,13.45166,13.4521438,13.4472758,13.4478792,22415.5638,22411.8182,21226.1715,21226.2756,53.5941814,53.5860077,50.6061606,50.6062183,-0.0133801223,-0.0129021588,-0.0124687664,-0.0125284069,100.016714,2.79645625,7.7447291e-06,-0.262914622,100.014736,100.014981,96.1147035,96.1147038
0.0225,0,0,0,0,0,0,0,0,13.4446114,13.4450597,13.4407078,13.4413191,22415.5483,22411.8252,21226.1336,21226.2439,53.5941716,53.5859841,50.6061716,50.6062319,-0.0135442129,-0.0129506955,-0.0124714696,-0.0125320688,100.017102,2.79642158,8.15139473e-06,-0.262913695,100.015125,100.01537,96.1150919,96.1150922
0.023,0,0,0,0,0,0,0,0,13.4363821,13.436789,13.4330213,13.4336403,22415.5424,22411.8311,21226.0963,21226.2129,53.5941516,53.5859574,50.6061865,50.6062495,-0.0136911458,-0.0129934881,-0.0124789329,-0.0125404422,100.017491,2.79639329,8.56808525e-06,-0.262912906,100.015514,100.015759,96.1154802,96.1154806
0.0235,0,0,0,0,0,0,0,0,13.4270949,13.4274544,13.4243305,13.4249574,22415.5453,22411.8364,21226.06,21226.183,53.5941221,53.5859274,50.6062052,50.6062711,-0.0138196358,-0.0130288004,-0.0124911904,-0.0125535708,100.017879,2.79637072,8.99478052e-06,-0.262912271,100.015903,100.016148,96.1158686,96.115869
0.024,0,0,0,0,0,0,0,0,13.416888,13.4171948,13.4147642,13.4153993,22415.5564,22411.8418,21226.0252,21226.1547,53.5940836,53.585894,50.6062277,50.6062964,-0.0139286886,-0.0130549667,-0.012508197,-0.0125714212,100.018267,2.79635312,9.43145916e-06,-0.262911805,100.016291,100.016537,96.116257,96.1162574
0.0245,0,0,0,0,0,0,0,0,13.4059122,13.4061647,13.4044632,13.405107,22415.5749,22411.8476,21225.9925,21226.1285,53.5940368,53.5858573,50.6062536,50.6063253,-0.0140175469,-0.0130704515,-0.0125298292,-0.0125938842,100.018656,2.7963397,9.87809524e-06,-0.26291152,100.01668,100.016925,96.1166453,96.1166458
0.025,0,0,0,0,0,0,0,0,13.3943294,13.3945325,13.3935788,13.3942321,22415.6001,22411.8545,21225.9622,21226.1049,53.5939825,53.5858176,50.6062827,50.6063575,-0.014085553,-0.0130740424,-0.0125558868,-0.0126207747,100.019044,2.79632955,1.03346581e-05,-0.262911426,100.017069,100.017314,96.1170337,96.1170342
0.0255,0,0,0,0,0,0,0,0,13.3823093,13.3824756,13.3822698,13.3829336,22415.631,22411.8627,21225.9349,21226.0843,53.5939216,53.5857752,50.6063146,50.6063926,-0.0141320497,-0.0130651269,-0.0125860993,-0.0126518322,100.019432,2.79632178,1.08011204e-05,-0.262911528,100.017457,100.017703,96.1174221,96.1174226
0.026,0,0,0,0,0,0,0,0,13.3700275,13.3701722,13.370701,13.3713763,22415.6669,22411.8726,21225.911,21226.0672,53.5938551,53.5857305,50.6063488,50.6064302,-0.0141565163,-0.0130437288,-0.012620132,-0.0126867228,100.019821,2.79631543,1.12774734e-05,-0.262911832,100.017846,100.018091,96.1178105,96.117811
0.0265,0,0,0,0,0,0,0,0,13.3576629,13.3577977,13.3590396,13.359728,22415.711,22411.8878,21225.8908,21226.0539,53.5937839,53.5856839,50.606385,50.6064698,-0.0141589997,-0.0130103822,-0.0126575908,-0.0127250465,100.020209,2.79630954,1.17637364e-05,-0.262912337,100.018234,100.01848,96.1181988,96.1181993
0.027,0,0,0,0,0,0,0,0,13.3453944,13.3455248,13.347454,13.3481568,22415.7537,22411.899,21225.8747,21226.0447,53.5937092,53.5856358,50.6064227,50.6065109,-0.0141390952,-0.0129650042,-0.0126980264,-0.0127663475,100.020598,2.79630317,1.22599529e-05,-0.262913042,100.018622,100.018868,96.1185872,96.1185877
0.0275,0,0,0,0,0,0,0,0,13.3333989,13.3335257,13.3361101,13.3368291,22415.7938,22411.9063,21225.8629,21226.0401,53.5936322,53.5855868,50.6064612,50.606553,-0.0140973269,-0.0129083499,-0.0127409394,-0.0128101227,100.020986,2.79629538,1.27661864e-05,-0.262913944,100.019011,100.019256,96.1189756,96.1189761
0.028,0,0,0,0,0,0,0,0,13.3218482,13.3219717,13.3251697,13.3259067,22415.8385,22411.9274,21225.8557,21226.04,53.5935539,53.5855374,50.6065,50.6065956,-0.0140347067,-0.0128420156,-0.0127857869,-0.0128558312,100.021374,2.79628525,1.32825229e-05,-0.262915033,100.019399,100.019644,96.1193639,96.1193645
0.0285,0,0,0,0,0,0,0,0,13.3109068,13.3110317,13.3147878,13.3155448,22415.883,22411.945,21225.8533,21226.0449,53.5934757,53.5854881,50.6065387,50.6066381,-0.0139519732,-0.0127652537,-0.0128319885,-0.012902903,100.021763,2.79627189,1.38090735e-05,-0.262916302,100.019787,100.020033,96.1197523,96.1197529
0.029,0,0,0,0,0,0,0,0,13.3007291,13.3008665,13.3051102,13.3058892,22415.9261,22411.9641,21225.8558,21226.0547,53.5933987,53.5854395,50.6065765,50.6066798,-0.0138505157,-0.0126793579,-0.0128789369,-0.0129507447,100.022151,2.79625447,1.4345965e-05,-0.262917737,100.020175,100.020421,96.1201407,96.1201413
0.0295,0,0,0,0,0,0,0,0,13.2914578,13.2916232,13.2962716,13.2970748,22415.9667,22411.9844,21225.8632,21226.0695,53.593324,53.5853921,50.606613,50.6067203,-0.0137323705,-0.0125849492,-0.012926009,-0.0129987486,100.02254,2.79623221,1.48933329e-05,-0.262919325,100.020563,100.020809,96.1205291,96.1205297
0.03,0,0,0,0,0,0,0,0,13.2832211,13.2834319,13.2883938,13.2892234,22416.0038,22412.0054,21225.8755,21226.0893,53.5932527,53.5853466,50.6066476,50.6067591,-0.0135998006,-0.012482973,-0.0129725781,-0.0130462993,100.022928,2.79620443,1.5451309e-05,-0.262921049,100.020951,100.021197,96.1209174,96.1209181
0.0305,0,0,0,0,0,0,0,0,13.2761315,13.2764046,13.2815836,13.2824419,22416.0367,22412.0266,21225.8926,21226.1141,53.5931858,53.5853035,50.6066797,50.6067955,-0.0134551553,-0.0123746082,-0.0130180239,-0.0130927837,100.023316,2.79617052,1.60200212e-05,-0.262922891,100.021339,100.021585,96.1213058,96.1213065
0.031,0,0,0,0,0,0,0,0,13.2702838,13.2706352,13.2759316,13.276821,22416.0644,22412.0476,21225.9144,21226.1437,53.5931242,53.5852634,50.606709,50.6068291,-0.0133008115,-0.0122612297,-0.0130617414,-0.0131376014,100.023705,2.79612999,1.65995949e-05,-0.262924831,100.021727,100.021972,96.1216941,96.1216949
0.0315,0,0,0,0,0,0,0,0,13.2657542,13.266198,13.2715108,13.2724335,22416.0865,22412.0681,21225.9407,21226.1778,53.5930686,53.5852269,50.6067348,50.6068594,-0.0131391636,-0.0121443634,-0.0131031496,-0.0131801745,100.024093,2.79608242,1.71901547e-05,-0.262926849,100.022115,100.02236,96.1220825,96.1220833
